row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,left_out_dataset,shots,epochs,finished_pred,last_pred_index,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
0,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,neural_course,validation,42,,0,0,True,64,2023-05-31 01:30:45,0.74709894645396,0.2426176055875368,0.0514994724072662,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
1,True,embed_words_glove,avg,cosine_similarity,Linear Regression,neural_course,validation,42,,0,0,True,64,2023-05-31 01:30:45,0.7564196929425511,0.3926757056104408,0.0012145375921684,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
2,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,neural_course,validation,42,,0,0,True,64,2023-05-31 01:30:45,0.7564832560957517,0.3926757056104294,0.0012145375921689,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
3,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,,0,0,True,3754,2023-05-31 01:30:45,0.7719225399611152,0.2430927404034317,1.220599881546898e-51,0.466844207723036,0.2234615439884498,0.2242885054690995,0.2190990088392947,0.466844207723036,0.466844207723036,0.466844207723036,0.4713157022072917,0.466844207723036,0.4603922472239667
102,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,ASAP_sas,0,0,True,17206,2023-05-31 01:37:58,1.1121142103120094,0.2256491242135233,1.5397851793194702e-197,0.308479107340036,0.371216104420995,0.2839272670389028,0.1968750793171723,0.308479107340036,0.308479107340036,0.308479107340036,0.5308565245195879,0.308479107340036,0.2147608654862959
103,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,beetle,0,0,True,6617,2023-05-31 01:37:58,0.4574917702746705,0.3731954834796941,8.93297990374527e-218,0.6847990329404654,0.6812379252158176,0.6508469720842223,0.6518478422161578,0.6847990329404654,0.6847990329404654,0.6847990329404654,0.6826599208089588,0.6847990329404654,0.6706539736609738
104,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,neural_course,0,0,True,645,2023-05-31 01:37:58,0.5367723043902212,0.0482365147443747,0.2208227956608868,0.3359133126934984,0.1124935199585277,0.3302891933028919,0.1678267594740912,0.3359133126934984,0.3359133126934984,0.3359133126934984,0.1144090442921868,0.3359133126934984,0.1706844906725665
105,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,sciEntsBank,0,0,True,10803,2023-05-31 01:37:58,0.474463086578708,0.2978979948551344,2.6947805632808324e-220,0.6385597926693817,0.6648280929764491,0.575953733791337,0.5419891647273766,0.6385597926693817,0.6385597926693817,0.6385597926693817,0.6586630837207087,0.6385597926693817,0.5787019654326017
106,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,texas,0,0,True,2272,2023-05-31 01:37:58,1.2641960095447766,0.3674949845215922,1.2856991444603412e-73,0.0439947206335239,0.0415160328160803,0.2358869159716617,0.0598454531642443,0.0439947206335239,0.0439947206335239,0.0439947206335239,0.0116253103528254,0.0439947206335239,0.0176740507783576
9,True,embed_words_glove,avg,cosine_similarity,Linear Regression,concatenated_datasets,validation,42,,0,0,True,3754,2023-05-31 01:30:46,0.7603502685569787,0.2283600552037766,1.2804414131991385e-45,0.474034620505992,0.19752662660443,0.2006323169734594,0.1942958430213195,0.474034620505992,0.474034620505992,0.474034620505992,0.4887907094975937,0.474034620505992,0.4692711931718794
